Wavelength;A3791_e;A3792_e;A3793_e;A3797_e;A3798_e;A3799_c;A3800_e;A3801_e;A3803_c;A3804_e;A3805_e;A3694_c;A3705_e;A3710_e;A3476_e;A3479_e;A3480_c;A3484_c;A3394_e;A3232_e;A3244_c;A3149_e;A3151_e;A3154_e;A3049_e;A3051_e;A3094_c;A3100_e;A3115_c;A2751;A2752;A2759;A2760;A2761;A2762;A2763;A2764;A2765;A2814;A2543;A2548;A2550;A2554;A2555;A2556;A2561;A2565;A2567;A2568;A2570;A2575;A2605;A2607;A261;A2617;A2619;A2620;A2621;A2622;A2625;A2627;A2643;A2650;A2651
350;0.023225327;0.011012183;0.022587412;0.02828285;0.024692389;0.366014914;0.022495547;0.027727655;0.422281368;0.032715826;0.020363913;0.830583428;0.110692235;0.078218706;0.03329643;0.141196628;0.148024085;0.229884879;0.065298592;0.040456895;0.247755356;0.038086214;0.095670744;0.023590919;0.015051023;0.018116688;0.429041367;0.016911206;0.267319345;0.112826738;0.027743334;0.326739736;0.104204098;0.226656257;0.274025694;0.102239092;0.145077522;0.081899947;0.346860518;0.563931188;0.422330049;0.833520906;0.522478407;0.20135029;0.218636431;0.199806458;0.278732906;0.791483836;0.314084923;0.195328602;0.339428235;0.491287363;0.154272758;0.129267115;0.191731172;0.150001748;0.166170712;0.06337257;0.354971096;0.230238578;0.406417275;0.224796809;0.763430288;0.216002282
351;0.023256345;0.009414525;0.022717383;0.026276059;0.023229369;0.374824129;0.021198381;0.025488267;0.430118022;0.03188503;0.019295148;0.842979294;0.100431395;0.067520218;0.032763142;0.139607138;0.152738137;0.234314032;0.064618884;0.036808286;0.252783103;0.037476206;0.09701184;0.022852138;0.0144934;0.021140181;0.443069519;0.014876142;0.277589711;0.114335485;0.027348568;0.333023655;0.105085528;0.231359842;0.278684033;0.106281123;0.147505435;0.084025104;0.358177967;0.568803162;0.431537983;0.846441595;0.528636182;0.207955082;0.223106199;0.204920627;0.284851983;0.8084936;0.322714794;0.196551306;0.344406752;0.499257146;0.156109701;0.136270045;0.194750376;0.153663201;0.17076852;0.065490966;0.36420525;0.234868024;0.413701883;0.228999647;0.771857462;0.222355802
352;0.023232609;0.009336149;0.022222574;0.025199757;0.022822848;0.381755067;0.020520553;0.024149542;0.437644384;0.030963178;0.01881912;0.855602579;0.095006269;0.064011413;0.031717666;0.137844612;0.156191294;0.237628356;0.065542408;0.034528115;0.256561968;0.036263287;0.094841235;0.019447672;0.015564268;0.023193229;0.45546653;0.015339313;0.287134534;0.114111025;0.027138927;0.339148966;0.106215197;0.234350641;0.283678094;0.108038937;0.150390434;0.085150602;0.368862796;0.575640121;0.4398094;0.860250559;0.535511931;0.211702105;0.226021936;0.208102562;0.290521154;0.824509461;0.329616302;0.199177315;0.348936483;0.508617296;0.157776926;0.141544369;0.197574415;0.155962706;0.173090882;0.067179241;0.370743237;0.23921666;0.420424801;0.233252371;0.780888087;0.227339619
353;0.022841161;0.010465855;0.02091555;0.025142916;0.02282198;0.387023412;0.02067137;0.024211411;0.444438407;0.03008581;0.01871374;0.868793759;0.092425614;0.065316153;0.030532217;0.136166465;0.156998152;0.239983581;0.067284341;0.033600021;0.2590255;0.034294218;0.09040213;0.016217701;0.016574829;0.023196232;0.465772283;0.016301829;0.293680562;0.113588772;0.027224086;0.346002178;0.108897388;0.238313976;0.290562168;0.108634878;0.154950465;0.086055231;0.379516329;0.584148762;0.446630965;0.874068062;0.543155245;0.213198313;0.229015145;0.211243167;0.295340066;0.839713887;0.333632833;0.20344742;0.353024874;0.518826749;0.159277909;0.144423031;0.20096921;0.157842314;0.173993587;0.068416224;0.375792689;0.243516978;0.427327766;0.23683184;0.791444663;0.230810205
354;0.020918068;0.010308107;0.019811841;0.023914433;0.021488433;0.39452752;0.019464412;0.024116906;0.451039181;0.028352138;0.017102994;0.880240737;0.084096922;0.058247696;0.032115774;0.13457868;0.158965663;0.243817558;0.066285629;0.033494829;0.262491528;0.034266836;0.089480431;0.018062792;0.015201005;0.022019463;0.477257292;0.01563887;0.299912541;0.118342655;0.02878418;0.354712898;0.113735275;0.247185933;0.299412168;0.113895631;0.160968636;0.089355764;0.391694237;0.590001294;0.45289068;0.883868127;0.551603528;0.216986847;0.234233686;0.217720981;0.300173155;0.85533662;0.33789701;0.206607629;0.356925906;0.525842294;0.160379907;0.147844795;0.20304321;0.160821389;0.177575157;0.070404707;0.382250404;0.247302067;0.436028083;0.239742935;0.803511589;0.234129343
355;0.020382837;0.009649158;0.018975603;0.023572716;0.020784386;0.400384397;0.019413158;0.023509188;0.4569771;0.027685754;0.015789307;0.894286757;0.078664694;0.0570288;0.030632027;0.134605716;0.163570204;0.248617624;0.064315226;0.032449222;0.26389494;0.033451128;0.090068518;0.01810503;0.013691712;0.020954112;0.487306134;0.014427913;0.307703299;0.121554438;0.029504481;0.3617303;0.114170156;0.253024756;0.30538501;0.116412302;0.164997808;0.092736456;0.401870872;0.595957165;0.459574187;0.892506663;0.556297714;0.221526989;0.238671309;0.223606784;0.303937075;0.868933174;0.344326116;0.2077261;0.359845175;0.534749449;0.16402187;0.150251901;0.208281457;0.163548885;0.180381796;0.07058909;0.389498604;0.250310029;0.443749275;0.243084978;0.810753622;0.239986457
356;0.020696973;0.009095041;0.018412914;0.023126012;0.020383205;0.406160085;0.019395972;0.02221191;0.462817277;0.028333489;0.015469553;0.909311716;0.077254205;0.056356092;0.028489426;0.135189115;0.166481703;0.252883168;0.063962807;0.03005274;0.264804089;0.032943359;0.091396855;0.018112684;0.013558336;0.021353849;0.496543842;0.014890084;0.316039135;0.123381559;0.029728478;0.368948369;0.114192284;0.256521312;0.308874311;0.116680874;0.167623462;0.094940815;0.410927627;0.601238508;0.466533299;0.901313097;0.561233853;0.225254101;0.241235421;0.227976775;0.307395359;0.881470796;0.349509377;0.208476785;0.362466001;0.542866875;0.165688113;0.153860129;0.213651779;0.164874878;0.183201873;0.071012014;0.396041994;0.253239994;0.451413569;0.246527706;0.817133053;0.244789173
357;0.020924847;0.008970582;0.017998789;0.021962626;0.019903723;0.413086606;0.018848827;0.020593197;0.468726376;0.029543089;0.015972869;0.923394115;0.077461076;0.052148135;0.027866681;0.135226671;0.166096919;0.256081894;0.065912174;0.02697474;0.266924356;0.033090827;0.09231525;0.019202644;0.015010897;0.023309839;0.506423794;0.016984007;0.323933942;0.124632183;0.030220191;0.377453869;0.117099176;0.259791234;0.31217589;0.116904955;0.170274692;0.095886746;0.420317099;0.605588664;0.473437216;0.910665093;0.568800322;0.227799369;0.242371159;0.231374989;0.311416971;0.893985893;0.352070698;0.210377027;0.365230844;0.548510752;0.164024798;0.159449905;0.216665911;0.165296355;0.186404618;0.073218534;0.401603117;0.256655761;0.459722825;0.249917369;0.825685129;0.246799348
358;0.02058782;0.009065001;0.017347787;0.02139862;0.019753697;0.419692508;0.019935744;0.019978636;0.473341712;0.029042432;0.015791023;0.935760066;0.071772737;0.049825854;0.027378338;0.134313404;0.168833807;0.260235383;0.066559258;0.02543771;0.270804171;0.030917181;0.09012567;0.017504775;0.016042667;0.024364686;0.519951406;0.014954236;0.332027152;0.124447331;0.031691537;0.384670625;0.12084059;0.264728094;0.320052202;0.120241872;0.174658072;0.097478452;0.431442744;0.61095271;0.479932988;0.91928579;0.574739977;0.231161675;0.24474632;0.236176911;0.316371121;0.906012634;0.356852222;0.213691424;0.367301328;0.554568983;0.167097138;0.16345019;0.218156011;0.168855712;0.187412834;0.076342787;0.408725336;0.260408066;0.467105901;0.253945372;0.833460841;0.250210123
359;0.020506336;0.009403754;0.017177471;0.020641427;0.019565236;0.426084899;0.020262425;0.020419868;0.479229342;0.028506893;0.015395659;0.948592512;0.068205826;0.048904481;0.027080427;0.134024915;0.171872883;0.26390474;0.06806653;0.025143954;0.2747101;0.030533365;0.088518233;0.017465009;0.015578068;0.025598499;0.52994785;0.014279832;0.339809767;0.125296147;0.033040746;0.390845856;0.123517521;0.269491222;0.327151413;0.122379556;0.179784146;0.100257591;0.441996231;0.616713854;0.485956992;0.928439324;0.580142749;0.235547664;0.248255945;0.240796811;0.322247359;0.918075645;0.36187428;0.217543026;0.370472988;0.561262983;0.171181395;0.16725835;0.221636857;0.172296751;0.190826403;0.078156271;0.415888783;0.264934105;0.475879587;0.258629455;0.840802685;0.255127107
